"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.275503170E-1,-5.699247122E-2,1.449316740E-3,-1.694583893E-2,5.947607714E-2
3.322806300E-1,-4.208017886E-2,-5.671098828E-3,3.989601135E-2,5.826314904E-2
3.370108900E-1,-4.392887652E-2,-7.947161794E-3,9.357643127E-2,1.036795643E-1
3.417412030E-1,-2.927407622E-2,-5.029724538E-2,6.395149231E-2,8.646720650E-2
3.464715150E-1,-2.190697193E-2,-3.779794276E-2,6.070709229E-2,7.479271990E-2
3.512017760E-1,-1.464629173E-2,-2.078673244E-2,3.627681732E-2,4.430134966E-2
3.559320880E-1,-1.923324168E-2,-1.347911358E-2,2.740859985E-3,2.364564234E-2
3.606623490E-1,-2.373425663E-2,-1.568660140E-2,-6.340122223E-2,6.949172167E-2
3.653926610E-1,-3.523600101E-2,-1.078319550E-2,-1.050710678E-1,1.113453293E-1
3.701229220E-1,-3.239616752E-2,-3.192456067E-2,-1.060705185E-1,1.154107627E-1
3.748532340E-1,1.044602692E-2,-2.915219963E-2,5.119323730E-2,5.983074266E-2
3.795834950E-1,1.491922140E-2,-5.237971246E-2,9.307384491E-2,1.078376467E-1
3.843138070E-1,4.085749388E-4,-3.990824521E-2,8.718872070E-2,9.588903997E-2
3.890440670E-1,1.454758644E-2,2.439461648E-2,3.396987915E-3,2.860540354E-2
3.937743800E-1,-9.190380573E-3,3.825265914E-2,3.408145905E-2,5.205069526E-2
3.985046400E-1,1.463568211E-2,3.540085256E-2,3.130531311E-2,4.947167050E-2
4.032349530E-1,7.388532162E-3,8.973270655E-3,6.403255463E-2,6.507901387E-2
4.079652650E-1,-4.585340619E-3,-4.554608464E-2,5.382251740E-2,7.065645444E-2
4.126955260E-1,3.082357347E-2,-3.082491457E-2,6.029319763E-2,7.440119435E-2
4.174258380E-1,3.981114924E-2,-2.576631308E-2,3.358459473E-2,5.810985714E-2
4.221560990E-1,4.168869555E-2,7.618978620E-3,-7.088565826E-2,8.258796958E-2
